ÈÕÆÚ,dau,dau_fake
2022/8/1,15417 ,154170 
2022/8/2,15009 ,150090 
2022/8/3,15550 ,155500 
2022/8/4,18791 ,187910 
2022/8/5,18686 ,186860 
2022/8/6,18302 ,183020 
2022/8/7,18721 ,187210 
2022/8/8,18291 ,182910 
2022/8/9,18680 ,186800 
2022/8/10,18279 ,182790 
2022/8/11,17686 ,176860 
2022/8/12,17455 ,174550 
2022/8/13,16793 ,167930 
2022/8/14,16679 ,166790 
2022/8/15,15891 ,158910 
2022/8/16,15632 ,156320 
2022/8/17,15609 ,156090 
2022/8/18,15265 ,152650 
2022/8/19,14921 ,149210 
2022/8/20,15020 ,150200 
2022/8/21,15320 ,153200 
2022/8/22,14700 ,147000 
2022/8/23,14565 ,145650 
2022/8/24,14425 ,144250 
2022/8/25,14568 ,145680 
2022/8/26,14458 ,144580 
2022/8/27,14467 ,144670 
2022/8/28,14664 ,146640 
2022/8/29,14071 ,140710 
2022/8/30,14086 ,140860 
2022/8/31,14043 ,140430 
2022/9/1,13824 ,138240 
2022/9/2,13833 ,138330 
2022/9/3,13928 ,139280 
2022/9/4,14440 ,144400 
2022/9/5,13523 ,135230 
2022/9/6,13344 ,133440 
2022/9/7,13189 ,131890 
2022/9/8,13145 ,131450 
2022/9/9,13758 ,137580 
2022/9/10,14618 ,146180 
2022/9/11,13967 ,139670 
2022/9/12,13633 ,136330 
2022/9/13,13094 ,130940 
2022/9/14,13088 ,130880 
2022/9/15,13022 ,130220 
2022/9/16,12699 ,126990 
2022/9/17,12800 ,128000 
2022/9/18,12955 ,129550 
2022/9/19,12271 ,122710 
2022/9/20,12202 ,122020 
2022/9/21,12023 ,120230 
2022/9/22,11764 ,117640 
2022/9/23,12126 ,121260 
2022/9/24,12610 ,126100 
2022/9/25,12762 ,127620 
2022/9/26,12245 ,122450 
2022/9/27,12498 ,124980 
2022/9/28,12442 ,124420 
2022/9/29,14201 ,142010 
2022/9/30,14587 ,145870 
2022/10/1,15859 ,158590 
2022/10/2,16252 ,162520 
2022/10/3,16072 ,160720 
2022/10/4,15969 ,159690 
2022/10/5,15594 ,155940 
2022/10/6,15683 ,156830 
2022/10/7,16190 ,161900 
2022/10/8,15551 ,155510 
2022/10/9,14903 ,149030 
2022/10/10,14526 ,145260 
2022/10/11,13961 ,139610 
2022/10/12,14160 ,141600 
2022/10/13,13839 ,138390 
2022/10/14,13120 ,131200 
2022/10/15,12787 ,127870 
2022/10/16,12987 ,129870 
2022/10/17,12404 ,124040 
2022/10/18,12607 ,126070 
2022/10/19,12348 ,123480 
2022/10/20,12218 ,122180 
2022/10/21,12194 ,121940 
2022/10/22,12390 ,123900 
2022/10/23,12310 ,123100 
2022/10/24,11757 ,117570 
2022/10/25,11694 ,116940 
2022/10/26,11341 ,113410 
2022/10/27,11397 ,113970 
2022/10/28,11258 ,112580 
2022/10/29,11290 ,112900 
2022/10/30,11310 ,113100 
2022/10/31,10875 ,108750 
2022/11/1,10778 ,107780 
2022/11/2,10829 ,108290 
2022/11/3,10593 ,105930 
2022/11/4,10773 ,107730 
2022/11/5,11026 ,110260 
2022/11/6,10960 ,109600 
2022/11/7,10581 ,105810 
2022/11/8,10460 ,104600 
2022/11/9,10503 ,105030 
2022/11/10,10436 ,104360 
2022/11/11,10120 ,101200 
2022/11/12,10392 ,103920 
2022/11/13,10498 ,104980 
2022/11/14,10161 ,101610 
2022/11/15,10036 ,100360 
2022/11/16,10073 ,100730 
2022/11/17,10104 ,101040 
2022/11/18,10208 ,102080 
2022/11/19,10445 ,104450 
2022/11/20,10591 ,105910 
2022/11/21,10779 ,107790 
2022/11/22,10776 ,107760 
2022/11/23,11651 ,116510 
